LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frames),(frames),(frames),(pixels),(pixels),(pixels),(pixels),(pixels/frames),(pixels/frames),(pixels/frames),(pixels/frames),(pixels/frames),(quality),(pixels),(pixels),,(pixels/frames),,(rad/frames)
Track_0,0,0,5,0,0,0,0,0,4.0,0.0,4.0,0.0,488.70207335642937,249.13163867677196,0.0,0.0,0.0,0.0,0.0,0.0,77.6064453125,0.0,0.0,NaN,0.0,NaN,0.0
Track_1,1,1,5,0,0,0,0,0,4.0,0.0,4.0,0.0,14.497721450615705,251.63725255934114,0.0,0.0,0.0,0.0,0.0,0.0,71.41943359375,0.0,0.0,NaN,0.0,NaN,0.0
Track_2,2,2,5,0,0,0,0,0,4.0,0.0,4.0,0.0,334.9019541662,252.10785892725465,0.0,0.0,0.0,0.0,0.0,0.0,142.30712890625,0.0,0.0,NaN,0.0,NaN,0.0
Track_3,3,3,5,0,0,0,0,0,4.0,0.0,4.0,0.0,448.4688662431221,251.52217622040195,0.0,0.0,0.0,0.0,0.0,0.0,57.615966796875,0.0,0.0,NaN,0.0,NaN,0.0
Track_4,4,4,5,0,0,0,0,0,4.0,0.0,4.0,0.0,147.70162374955285,254.2578332599632,0.0,0.0,0.0,0.0,0.0,0.0,97.28125,0.0,0.0,NaN,0.0,NaN,0.0
Track_5,5,5,5,0,0,0,0,0,4.0,0.0,4.0,0.0,8.8398006381323,255.74389091041843,0.0,0.0,0.0,0.0,0.0,0.0,112.97802734375,0.0,0.0,NaN,0.0,NaN,0.0
Track_6,6,6,5,0,0,0,0,0,4.0,0.0,4.0,0.0,38.88309874481976,255.85434531950264,0.0,0.0,0.0,0.0,0.0,0.0,91.301513671875,0.0,0.0,NaN,0.0,NaN,0.0
